Sitename,Country,Latitude,Longitude,LAI,Time of Measurement,Year_LAI,Methodology/ remarks,Biome,Biomecover,Dominant species,Author,Year_pub,ANPP,BNPP,TNPP,Elevation (m),Age,Remarks/ original source,Unnamed: 19
"Point Barrow, AK                                                  ", USA                ,71.3,-156.67,1,                     July ,        N/A , D; max value                                           ,Tundra / arctic                   , Tundra            , Dupontia                                                 , Caldwell et al.                          ,1978,69,42,111,5,1,                                                                                               ,
N/A                                                               , USA                ,68.63,-149.57,1.39,                      N/A ,1991, X                                                      ,TUNDRA                            , Tundra            , N/A                                                      ," Shaver, G.R. & F.S. Chapin               ",1991,480,300,780,760,-999,shrub tundra                                                                                   ,
N/A                                                               , USA                ,68.63,-149.57,1.2,                      N/A ,1991, X                                                      ,TUNDRA                            , Tundra            , N/A                                                      ," Shaver, G.R. & F.S. Chapin               ",1991,280,150,430,760,-999,tussock tundra                                                                                 ,
N/A                                                               , USA                ,68.63,-149.57,0.39,                      N/A ,1991, X                                                      ,TUNDRA                            , Tundra            , N/A                                                      ," Shaver, G.R. & F.S. Chapin               ",1991,100,100,200,760,-999,wet tundra                                                                                     ,
N/A                                                               , USA                ,68.63,-149.57,0.18,                      N/A ,1991, X                                                      ,TUNDRA                            , Tundra            , N/A                                                      ," Shaver, G.R. & F.S. Chapin               ",1991,40,100,140,760,-999,heath tundra                                                                                   ,
"Toolik Lake and Imnavait Creek, Alaska                            ", USA                ,68.3,-149.3,     0.6 - 0.85 ,      25 July - 10 August ,1993, A + E                                                  ,Tundra / arctic                   , Tundra            , many graminoids/shrubs                                   ," Shippert, M.M. et al.                    ",1995,-999,-999,-999,-999,-999,                                                                                               ,
"Kuusamo, Oulu                                                     ", Finland            ,66.37,29.32,4.9,                      N/A ,1971, X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Havas, P.                                ",1981,421,20,441,270,260,                                                                                               ,
"42 km NE of Fairbanks, AK                                         ", USA                ,64.83,-147.65,0.6,              June-August ,1974, A and C                                                ,Forest / boreal                   , Forest / BoDBL    , Populus tremuloides                                      ," Coyne, P.I. and K. van Cleve             ",1977,-999,-999,-999,-999,18,control plot in fertilization expt.                                                            ,
N/A                                                               , USA                ,64.75,-148.25,3,                      N/A ,1996, C (general equations)                                  ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Ruess, et al.                            ",1996,1304,355,1659,-999,-999,                                                                                               ,
N/A                                                               , USA                ,64.75,-148.25,4,                      N/A ,1996, C (general equations)                                  ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Ruess, et al.                            ",1996,1110,276,1386,-999,-999,                                                                                               ,
N/A                                                               , USA                ,64.75,-148.25,6,                      N/A ,1996, C (general equations)                                  ,BODBL                             , Forest / BoDBL    , N/A                                                      ," Ruess, et al.                            ",1996,852,439,1291,-999,-999,                                                                                               ,
N/A                                                               , USA                ,64,-154,2,                      N/A ,1996, C (general equations)                                  ,BOENL                             , Forest / BoENL    , N/A                                                      ," Ruess, et al.                            ",1996,720,248,968,-999,-999,                                                                                               ,
N/A                                                               , USA                ,64,-154,2.4,                      N/A ,1996, C (general equations)                                  ,BOENL                             , Forest / BoENL    , N/A                                                      ," Ruess, et al.                            ",1996,692,157,849,-999,-999,                                                                                               ,
N/A                                                               , USA                ,64,-154,2,                      N/A ,1996, C (general equations)                                  ,BOENL                             , Forest / BoENL    , N/A                                                      ," Ruess, et al.                            ",1996,257,232,489,-999,-999,                                                                                               ,
S. Karelia#17                                                     , Russia             ,62,34,2.4,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,255,45,300,130,138,                                                                                               ,
S. Karelia#16                                                     , Russia             ,62,34,2.7,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,309,56,365,120,126,                                                                                               ,
S. Karelia#15                                                     , Russia             ,62,34,3.2,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,409,72,481,110,109,                                                                                               ,
S. Karelia#14                                                     , Russia             ,62,34,3.6,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,481,92,573,110,98,                                                                                               ,
S. Karelia#13                                                     , Russia             ,62,34,3.8,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,570,104,674,140,82,                                                                                               ,
S. Karelia#12                                                     , Russia             ,62,34,3.8,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,617,116,733,120,68,                                                                                               ,
S. Karelia#11                                                     , Russia             ,62,34,3.6,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,621,110,731,130,54,                                                                                               ,
S. Karelia#2                                                      , Russia             ,62,34,2.6,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,478,70,548,170,45,                                                                                               ,
S. Karelia#10                                                     , Russia             ,62,34,3.2,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,585,104,689,140,45,                                                                                               ,
S. Karelia#4                                                      , Russia             ,62,34,4.3,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,716,104,820,150,43,                                                                                               ,
S. Karelia#6                                                      , Russia             ,62,34,2,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,368,52,420,100,42,                                                                                               ,
S. Karelia#7                                                      , Russia             ,62,34,2.4,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,432,63,495,80,41,                                                                                               ,
S. Karelia#3                                                      , Russia             ,62,34,3.4,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,629,93,722,130,39,                                                                                               ,
S. Karelia#5                                                      , Russia             ,62,34,4.4,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,779,107,886,160,38,                                                                                               ,
S. Karelia#1                                                      , Russia             ,62,34,1.8,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,287,43,330,200,37,                                                                                               ,
S. Karelia#9                                                      , Russia             ,62,34,3,                      N/A ,  1965-1969 , X                                                      ,Forest / BoNLE                    , Forest / BoENL    , Picea abies                                              ," Kazimirov, N.I. and R.M. Morozova        ",1981,539,90,629,110,37,                                                                                               ,
