Biome,n,lai_mean,lai_2sided,leaf_surface_Mha,wood_surface_Mha,woody_leaf_ratio
Boreal Forests/Taiga,129,4.0451937984496125,8.090387596899225,3805.1034561240313,1440,0.37843911909475864
Flooded Grasslands & Savannas,1,0.58,1.16,23.078199999999995,61,2.6431870769817407
Mangroves,29,4.142758620689655,8.28551724137931,91.32297103448275,34,0.3723050138958127
"Mediterranean Forests, Woodlands & Scrub",51,4.801372549019607,9.602745098039215,323.22839999999997,103,0.31866011773717906
Montane Grasslands & Shrublands,18,3.1855555555555557,6.371111111111111,186.16386666666668,89,0.4780734392424165
Temperate Broadleaf & Mixed Forests,780,5.085051282051282,10.170102564102564,3857.6419437948716,1170,0.3032940892510718
Temperate Conifer Forests,72,4.4215277777777775,8.843055555555555,1163.7461111111108,405,0.34801405232049953
"Temperate Grasslands, Savannas &Shrublands",2,6.085,12.17,1106.2773399999999,280,0.2531010894609846
Tropical & Subtropical Coniferous Forests,2,2.04,4.08,89.05824,68,0.7635452935068109
Trop. & Subtrop. Dry Broadleaf Forests,6,4.798333333333334,9.596666666666668,733.5308133333334,235,0.3203682731910139
Tropical & Subtropical Moist Broadleaf Forests «,75,4.973466666666667,9.946933333333334,9776.999924266667,4040,0.41321469073275297
Tundra,19,0.608421052631579,1.216842105263158,425.56618947368423,109,0.2561293699924915
