age,genus,volume,surface,sa_vol_ratio,age_class
20,oak,11.9,414,34.78991596638655,Young (≤30 yr)
30,oak,61.6,1970,31.98051948051948,Young (≤30 yr)
40,oak,110.5,3250,29.41176470588235,Mature (31-60 yr)
50,oak,156,3990,25.576923076923077,Mature (31-60 yr)
60,oak,195.9,4450,22.71567126084737,Mature (31-60 yr)
70,oak,230.2,4920,21.372719374456995,Old (>60 yr)
80,oak,261,5410,20.727969348659006,Old (>60 yr)
90,oak,288.3,5620,19.49358307318765,Old (>60 yr)
100,oak,313.5,5780,18.437001594896334,Old (>60 yr)
20,pine,132.9,4303,32.37772761474793,Young (≤30 yr)
30,pine,234.4,6604,28.174061433447097,Young (≤30 yr)
40,pine,314.9,7044,22.36900603366148,Mature (31-60 yr)
50,pine,363.8,6831,18.776800439802088,Mature (31-60 yr)
60,pine,398.9,6799,17.044372023063424,Mature (31-60 yr)
70,pine,419.8,6469,15.409718913768462,Old (>60 yr)
80,pine,433.8,6400,14.753342554172429,Old (>60 yr)
