gauci_biome,n_records,percentage
Boreal Forests/Taiga,237,8.9
Deserts & Xeric Shrublands,86,3.2
Flooded Grasslands & Savannas,2,0.1
Mangroves,31,1.2
"Mediterranean Forests, Woodlands & Scrub",186,7
Montane Grasslands & Shrublands,47,1.8
Temperate Broadleaf & Mixed Forests,1172,44.2
Temperate Conifer Forests,347,13.1
"Temperate Grasslands, Savannas &Shrublands",106,4
Tropical & Subtropical Coniferous Forests,19,0.7
Trop. & Subtrop. Dry Broadleaf Forests,24,0.9
"Trop. & Subtrop. Grasslands, Savannas &",71,2.7
Tropical & Subtropical Moist Broadleaf Forests,255,9.6
Tundra,53,2
ambiguous,17,0.6
