gauci_biome,n_records,percentage
Boreal Forests/Taiga,222,8.51880276285495
Deserts & Xeric Shrublands,5,0.19186492709132771
"Mediterranean Forests, Woodlands & Scrub",17,0.6523407521105142
Temperate Broadleaf & Mixed Forests,1355,51.99539524174981
Temperate Conifer Forests,834,32.00306983883346
"Temperate Grasslands, Savannas &Shrublands",28,1.0744435917114352
Tropical & Subtropical Coniferous Forests,5,0.19186492709132771
Trop. & Subtrop. Dry Broadleaf Forests,2,0.07674597083653108
"Trop. & Subtrop. Grasslands, Savannas &",26,0.9976976208749041
Tropical & Subtropical Moist Broadleaf Forests,112,4.297774366845741
