Reference_number,Total_LAI,Method,PFT,Vegetation_status,Dominant_species,Country,Latitude,Longitude,MAT_(Literature value),MAP_(Literature value),Potentially_erroneous_data,gauci_biome,pft_step,species_step,climate_step,spatial_step,LAI,LAI_numeric,q1,q3,iqr,lower_bound,upper_bound,is_outlier,outlier_type
1,7.9,D,DB,Mix,Fagus sylvatica,Germany,51.41666667,9.4,7.6,738,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.9,7.9,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,8.2,D,DB,Mix,Fagus sylvatica,Germany,51.41666667,9.4,7.6,738,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,8.2,8.2,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.6,D,DB,Mix,Fagus sylvatica,Germany,51.41666667,9.4,7.6,738,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.6,7.6,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.8,D,DB,Mix,Fagus sylvatica,Germany,51.41666667,9.4,7.6,738,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.8,7.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.1,D,DB,Mix,Fagus sylvatica,Germany,51.41666667,9.4,7.6,738,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.1,7.1,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.8,D,DB,Mix,Fagus sylvatica,Germany,51.53333333,10.03333333,7.6,710,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.8,6.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,9.1,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,9.333333333,7.6,736,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,9.1,9.1,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.9,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,9.333333333,7.6,736,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.9,7.9,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,5.6,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,9.333333333,7.6,736,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,5.6,5.6,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.8,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,9.333333333,7.6,736,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.8,7.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.4,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,9.333333333,7.6,736,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.4,7.4,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.4,D,DB,Mix,Fagus sylvatica,Germany,52.1,9.966666667,7.6,822,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.4,6.4,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.5,D,DB,Mix,Fagus sylvatica,Germany,52.1,9.966666667,7.6,822,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.5,6.5,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.8,D,DB,Mix,Fagus sylvatica,Germany,52.1,9.966666667,7.6,822,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.8,6.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.4,D,DB,Mix,Fagus sylvatica,Germany,52.1,9.966666667,7.6,822,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.4,6.4,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.7,D,DB,Mix,Fagus sylvatica,Germany,52.1,9.966666667,7.6,822,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.7,7.7,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,9.5,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,11.46666667,7.6,656,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,9.5,9.5,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,7.3,D,DB,Mix,Fagus sylvatica,Germany,51.33333333,11.46666667,7.6,656,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,7.3,7.3,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
1,6.5,D,DB,Mix,Fagus sylvatica,Germany,51.73333333,9.7,7.6,1031,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,6.5,6.5,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
