gauci_biome,n_Asner,mean_lai_Asner,sd_lai_Asner,median_lai_Asner,n_Iio,mean_lai_Iio,sd_lai_Iio,median_lai_Iio,has_both,mean_diff,consensus_lai
Boreal Forests/Taiga,73,2.8672602739726027,1.8152282227755923,2.4,238,3.676050420168067,2.20344598491035,3.1399999999999997,TRUE,-0.8087901461954643,3.271655347070335
Deserts & Xeric Shrublands,20,5.7335,5.432496058079806,3.27,86,2.1940697674418606,1.7819113187856501,2.105,TRUE,3.5394302325581397,3.9637848837209306
Flooded Grasslands & Savannas,1,0.5,NA,0.5,2,1.365,1.1101576464628797,1.365,TRUE,-0.865,0.9325
"Mediterranean Forests, Woodlands & Scrub",16,2.14875,1.1578996790165659,2.055,186,3.428817204301075,2.0391900084909786,2.975,TRUE,-1.280067204301075,2.788783602150538
Montane Grasslands & Shrublands,7,13.514285714285714,11.66956705444102,8.9,47,4.517872340425532,3.331985265488986,3.8,TRUE,8.996413373860182,9.016079027355623
Temperate Broadleaf & Mixed Forests,417,5.1729496402877695,2.865828461211944,4.95,1166,5.187864493996569,2.4483063748696785,4.9350000000000005,TRUE,-0.014914853708799747,5.18040706714217
Temperate Conifer Forests,151,5.296913907284768,6.008562688852632,3.7,349,6.3674240687679085,3.9801738342292796,5.6,TRUE,-1.0705101614831403,5.832168988026338
"Temperate Grasslands, Savannas &Shrublands",52,4.489999999999999,3.8063393973532023,3.5,106,2.4462264150943396,1.1242855533141196,2.24,TRUE,2.0437735849056597,3.4681132075471695
Trop. & Subtrop. Dry Broadleaf Forests,17,2.9094117647058826,1.342630210576591,3.33,23,4.329130434782608,2.5048750885994626,3.8,TRUE,-1.4197186700767257,3.619271099744245
"Trop. & Subtrop. Grasslands, Savannas &",6,1.2283333333333333,1.1079786399866502,0.8,71,1.9897183098591549,1.9535454741359626,1,TRUE,-0.7613849765258216,1.609025821596244
Tropical & Subtropical Coniferous Forests,4,0.9275,0.4644261692310918,0.77,19,3.6847368421052633,2.848302356806502,2.35,TRUE,-2.7572368421052635,2.3061184210526315
Tropical & Subtropical Moist Broadleaf Forests,80,6.4593750000000005,3.636531712438325,5.8,248,5.419637096774194,3.1550023690545324,5.07,TRUE,1.0397379032258067,5.939506048387097
Tundra,9,2.3844444444444446,2.7421802963659734,1.39,53,1.1335849056603773,0.9009783023504175,0.84,TRUE,1.2508595387840673,1.759014675052411
