Biome_Full,LAI_1sided,LAI_2sided,n_observations,sd_lai
Temperate Coniferous Forests,6.04,12.08,338,3.43
Temperate Broadleaf and Mixed Forests,5.02,10.04,1151,2.19
Mangroves,4.17,8.34,31,1.1
Montane Grasslands & Shrublands,4.06,8.12,45,2.49
Tropical and Subtropical Dry Broadleaf Forests,3.99,7.98,23,1.85
Tropical & Subtropical Coniferous Forests,3.68,7.36,19,2.85
Taiga and Boreal Forest,3.58,7.16,234,2.09
"Mediterranean Forests, Woodlands, and Scrub",3.36,6.72,184,1.95
"Temperate Grasslands, Savannas, and Shrublands",2.4,4.8,103,0.96
Deserts and Xeric Shrublands,2.03,4.06,84,1.45
"Tropical and Subtropical Grasslands, Savannas, and Shrublands",1.78,3.56,69,1.55
Flooded Grasslands & Savannas,1.36,2.72,2,1.11
Tundra,0.99,1.98,50,0.71
